 Name                Version      License
 Brotli              1.1.0        MIT License
 PySocks             1.7.1        BSD
 aiodns              3.2.0        MIT License
 attrs               25.1.0       UNKNOWN
 beautifulsoup4      4.13.3       MIT License
 certifi             2025.1.31    Mozilla Public License 2.0 (MPL 2.0)
 cffi                1.17.1       MIT License
 chardet             5.2.0        GNU Lesser General Public License v2 or later (LGPLv2+)
 charset-normalizer  3.4.1        MIT License
 h11                 0.14.0       MIT License
 idna                3.10         BSD License
 outcome             1.3.0.post0  Apache Software License; MIT License
 packaging           24.2         Apache Software License; BSD License
 pycares             4.5.0        MIT License
 pycparser           2.22         BSD License
 python-dotenv       1.0.1        BSD License
 requests            2.32.3       Apache Software License
 selenium            4.29.0       Apache Software License
 sniffio             1.3.1        Apache Software License; MIT License
 sortedcontainers    2.4.0        Apache Software License
 soupsieve           2.6          MIT License
 trio                0.29.0       Apache Software License; MIT License
 trio-websocket      0.12.2       MIT License
 typing_extensions   4.12.2       Python Software Foundation License
 urllib3             2.3.0        MIT License
 webdriver-manager   4.0.2        Apache Software License
 websocket-client    1.8.0        Apache Software License
 websockets          15.0.1       BSD License
 wsproto             1.2.0        MIT License
 yt-dlp              2025.2.19    The Unlicense (Unlicense)
